id,keywords,title,generos_concatenados,concat_kw_genres
862,jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life,Toy Story,Animation Comedy Family,jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life Animation Comedy Family
8844,board game disappearance based on children's book new home recluse giant insect,Jumanji,Adventure Fantasy Family,board game disappearance based on children's book new home recluse giant insect Adventure Fantasy Family
15602,fishing best friend duringcreditsstinger old men,Grumpier Old Men,Romance Comedy,fishing best friend duringcreditsstinger old men Romance Comedy
31357,based on novel interracial relationship single mother divorce chick flick,Waiting to Exhale,Comedy Drama Romance,based on novel interracial relationship single mother divorce chick flick Comedy Drama Romance
11862,baby midlife crisis confidence aging daughter mother daughter relationship pregnancy contraception gynecologist,Father of the Bride Part II,Comedy,baby midlife crisis confidence aging daughter mother daughter relationship pregnancy contraception gynecologist Comedy
949,robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang cat and mouse criminal mastermind cult film ex-con heist movie one last job loner bank job neo-noir gun fight crime epic,Heat,Action Crime Drama Thriller,robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang cat and mouse criminal mastermind cult film ex-con heist movie one last job loner bank job neo-noir gun fight crime epic Action Crime Drama Thriller
11860,paris brother brother relationship chauffeur long island fusion millionaire,Sabrina,Comedy Romance,paris brother brother relationship chauffeur long island fusion millionaire Comedy Romance
9091,terrorist hostage explosive vice president,Sudden Death,Action Adventure Thriller,terrorist hostage explosive vice president Action Adventure Thriller
710,cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army,GoldenEye,Adventure Action Thriller,cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army Adventure Action Thriller
9087,white house usa president new love widower wildlife conservation,The American President,Comedy Drama Romance,white house usa president new love widower wildlife conservation Comedy Drama Romance
12110,dracula spoof,Dracula: Dead and Loving It,Comedy Horror,dracula spoof Comedy Horror
21032,wolf dog-sledding race alaska dog goose bear attack dog sled frozen lake,Balto,Family Animation Adventure,wolf dog-sledding race alaska dog goose bear attack dog sled frozen lake Family Animation Adventure
10858,usa president presidential election watergate scandal biography government historical figure,Nixon,History Drama,usa president presidential election watergate scandal biography government historical figure History Drama
1408,exotic island treasure map ship scalp pirate,Cutthroat Island,Action Adventure,exotic island treasure map ship scalp pirate Action Adventure
524,poker drug abuse 1970s overdose illegal prostitution,Casino,Drama Crime,poker drug abuse 1970s overdose illegal prostitution Drama Crime
4584,bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum,Sense and Sensibility,Drama Romance,bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum Drama Romance
5,hotel new year's eve witch bet hotel room sperm los angeles hoodlum woman director episode film,Four Rooms,Crime Comedy,hotel new year's eve witch bet hotel room sperm los angeles hoodlum woman director episode film Crime Comedy
9273,africa indigenous human animal relationship bat,Ace Ventura: When Nature Calls,Crime Comedy Adventure,africa indigenous human animal relationship bat Crime Comedy Adventure
11517,brother brother relationship subway new york city new york subway train robbery,Money Train,Action Comedy Crime,brother brother relationship subway new york city new york subway train robbery Action Comedy Crime
8012,gambling miami based on novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con,Get Shorty,Comedy Thriller Crime,gambling miami based on novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con Comedy Thriller Crime
1710,police brutality psychology police operation police protection serial killer psychologist cowardliness,Copycat,Drama Thriller,police brutality psychology police operation police protection serial killer psychologist cowardliness Drama Thriller
