movie_id,movie_title,iso_3166_1_id,name_name
862,Toy Story,US,United States of America
8844,Jumanji,US,United States of America
15602,Grumpier Old Men,US,United States of America
31357,Waiting to Exhale,US,United States of America
11862,Father of the Bride Part II,US,United States of America
949,Heat,US,United States of America
11860,Sabrina,DE,Germany
11860,Sabrina,US,United States of America
45325,Tom and Huck,US,United States of America
9091,Sudden Death,US,United States of America
710,GoldenEye,GB,United Kingdom
710,GoldenEye,US,United States of America
9087,The American President,US,United States of America
12110,Dracula: Dead and Loving It,FR,France
12110,Dracula: Dead and Loving It,US,United States of America
21032,Balto,US,United States of America
10858,Nixon,US,United States of America
1408,Cutthroat Island,FR,France
1408,Cutthroat Island,DE,Germany
1408,Cutthroat Island,IT,Italy
1408,Cutthroat Island,US,United States of America
524,Casino,FR,France
524,Casino,US,United States of America
4584,Sense and Sensibility,GB,United Kingdom
4584,Sense and Sensibility,US,United States of America
5,Four Rooms,US,United States of America
9273,Ace Ventura: When Nature Calls,US,United States of America
11517,Money Train,US,United States of America
8012,Get Shorty,US,United States of America
1710,Copycat,US,United States of America
9691,Assassins,FR,France
9691,Assassins,US,United States of America
12665,Powder,US,United States of America
451,Leaving Las Vegas,US,United States of America
16420,Othello,IT,Italy
9263,Now and Then,US,United States of America
17015,Persuasion,GB,United Kingdom
17015,Persuasion,FR,France
902,The City of Lost Children,FR,France
902,The City of Lost Children,DE,Germany
902,The City of Lost Children,ES,Spain
37557,Shanghai Triad,CN,China
37557,Shanghai Triad,FR,France
9909,Dangerous Minds,US,United States of America
63,Twelve Monkeys,US,United States of America
78802,Wings of Courage,FR,France
78802,Wings of Courage,US,United States of America
9598,Babe,AU,Australia
9598,Babe,US,United States of America
47018,Carrington,FR,France
47018,Carrington,GB,United Kingdom
687,Dead Man Walking,US,United States of America
687,Dead Man Walking,GB,United Kingdom
139405,Across the Sea of Time,US,United States of America
33689,It Takes Two,US,United States of America
9603,Clueless,US,United States of America
34615,"Cry, the Beloved Country",ZA,South Africa
31174,Richard III,GB,United Kingdom
31174,Richard III,US,United States of America
11443,Dead Presidents,US,United States of America
35196,Restoration,US,United States of America
9312,Mortal Kombat,US,United States of America
577,To Die For,US,United States of America
11861,How To Make An American Quilt,US,United States of America
807,Se7en,US,United States of America
10530,Pocahontas,US,United States of America
8391,When Night Is Falling,CA,Canada
629,The Usual Suspects,US,United States of America
11448,Mighty Aphrodite,US,United States of America
49133,Lamerica,IT,Italy
49133,Lamerica,FR,France
49133,Lamerica,CH,Switzerland
26441,The Big Green,US,United States of America
97406,Georgia,FR,France
97406,Georgia,US,United States of America
9089,Home for the Holidays,US,United States of America
11010,The Postman,BE,Belgium
11010,The Postman,FR,France
11010,The Postman,IT,Italy
99040,The Confessional,CA,Canada
11359,The Indian in the Cupboard,US,United States of America
17182,Eye for an Eye,US,United States of America
2054,Mr. Holland's Opus,US,United States of America
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,US,United States of America
19760,Two If by Sea,US,United States of America
9536,Bio-Dome,US,United States of America
11525,Lawnmower Man 2: Beyond Cyberspace,US,United States of America
40628,Two Bits,US,United States of America
4482,French Twist,FR,France
10634,Friday,US,United States of America
755,From Dusk Till Dawn,US,United States of America
11859,Fair Game,US,United States of America
28387,Kicking and Screaming,US,United States of America
48750,Les Miserables,FR,France
20927,Bed of Roses,US,United States of America
36929,Big Bully,US,United States of America
9102,Screamers,CA,Canada
9102,Screamers,JP,Japan
9102,Screamers,US,United States of America
124626,Nico Icon,DE,Germany
124626,Nico Icon,US,United States of America
27526,The Crossing Guard,US,United States of America
9623,The Juror,US,United States of America
46785,The White Balloon,IR,Iran
400,Things to Do in Denver When You're Dead,US,United States of America
880,Antonia's Line,NL,Netherlands
880,Antonia's Line,GB,United Kingdom
880,Antonia's Line,BE,Belgium
146599,Once Upon a Time... When We Were Colored,US,United States of America
8447,Angels and Insects,GB,United Kingdom
8447,Angels and Insects,US,United States of America
10534,White Squall,US,United States of America
17414,Dunston Checks In,US,United States of America
13997,Black Sheep,US,United States of America
2086,Nick of Time,US,United States of America
61548,The Journey of August King,US,United States of America
9095,Mary Reilly,US,United States of America
12158,Vampire in Brooklyn,US,United States of America
9283,Beautiful Girls,US,United States of America
9208,Broken Arrow,US,United States of America
40154,A Midwinter's Tale,GB,United Kingdom
406,La Haine,FR,France
45549,Shopping,GB,United Kingdom
63076,Heidi Fleiss: Hollywood Madam,GB,United Kingdom
63076,Heidi Fleiss: Hollywood Madam,CA,Canada
63076,Heidi Fleiss: Hollywood Madam,US,United States of America
63076,Heidi Fleiss: Hollywood Madam,DE,Germany
11062,City Hall,US,United States of America
13685,Bottle Rocket,US,United States of America
47475,Mr. Wrong,US,United States of America
2045,Unforgettable,US,United States of America
9614,Happy Gilmore,US,United States of America
688,The Bridges of Madison County,US,United States of America
11907,Nobody Loves Me,DE,Germany
10874,Muppet Treasure Island,US,United States of America
197,Braveheart,US,United States of America
103,Taxi Driver,US,United States of America
33542,Rumble in the Bronx,HK,Hong Kong
43566,Before and After,US,United States of America
71754,Margaret's Museum,CA,Canada
71754,Margaret's Museum,GB,United Kingdom
43612,Happiness Is in the Field,FR,France
51352,Anne Frank Remembered,GB,United Kingdom
51352,Anne Frank Remembered,US,United States of America
51352,Anne Frank Remembered,NL,Netherlands
16934,The Young Poisoner's Handbook,DE,Germany
16934,The Young Poisoner's Handbook,FR,France
16934,The Young Poisoner's Handbook,GB,United Kingdom
10324,If Lucy Fell,US,United States of America
78406,Steal Big Steal Little,US,United States of America
55731,Race the Sun,US,United States of America
32119,The Boys of St. Vincent,CA,Canada
11066,Boomerang,US,United States of America
11104,Chungking Express,HK,Hong Kong
37975,The Star Maker,IT,Italy
2074,Flirting with Disaster,US,United States of America
27793,The Neverending Story III: Escape from Fantasia,DE,Germany
27793,The Neverending Story III: Escape from Fantasia,US,United States of America
44284,The Silences of the Palace,TN,Tunisia
44284,The Silences of the Palace,FR,France
32622,Angela,US,United States of America
73067,Frankie Starlight,GB,United Kingdom
73067,Frankie Starlight,US,United States of America
73067,Frankie Starlight,FR,France
73067,Frankie Starlight,IE,Ireland
11863,Jade,US,United States of America
55475,Nueba Yol,DO,Dominican Republic
124636,Sonic Outlaws,US,United States of America
9101,Down Periscope,US,United States of America
123360,From the Journals of Jean Seberg,US,United States of America
5757,Man of the Year,US,United States of America
39428,The Neon Bible,GB,United Kingdom
9302,Up Close & Personal,US,United States of America
11000,The Birdcage,US,United States of America
249882,Virgin Mary,HR,Croatia
249882,Virgin Mary,CA,Canada
249882,Virgin Mary,US,United States of America
16388,The Brothers McMullen,US,United States of America
9737,Bad Boys,US,United States of America
30765,The Amazing Panda Adventure,US,United States of America
10474,The Basketball Diaries,US,United States of America
22279,An Awfully Big Adventure,GB,United Kingdom
30157,Amateur,FR,France
30157,Amateur,GB,United Kingdom
30157,Amateur,US,United States of America
568,Apollo 13,US,United States of America
11780,Rob Roy,GB,United Kingdom
11780,Rob Roy,US,United States of America
34996,The Addiction,US,United States of America
414,Batman Forever,GB,United Kingdom
414,Batman Forever,US,United States of America
649,Belle de Jour,FR,France
649,Belle de Jour,IT,Italy
5894,Blue in the Face,US,United States of America
1775,Canadian Bacon,CA,Canada
1775,Canadian Bacon,US,United States of America
8839,Casper,US,United States of America
20649,Clockers,US,United States of America
10329,Congo,US,United States of America
8963,Crimson Tide,US,United States of America
26564,Crumb,US,United States of America
8068,Desperado,US,United States of America
8512,Devil in a Blue Dress,US,United States of America
1572,Die Hard: With a Vengeance,US,United States of America
13552,The Doom Generation,FR,France
13552,The Doom Generation,US,United States of America
6520,First Knight,US,United States of America
9073,Free Willy 2 - The Adventure Home,FR,France
9073,Free Willy 2 - The Adventure Home,US,United States of America
10428,Hackers,US,United States of America
17447,Jeffrey,US,United States of America
9886,Johnny Mnemonic,CA,Canada
9886,Johnny Mnemonic,US,United States of America
9482,Judge Dredd,US,United States of America
19326,Jury Duty,US,United States of America
9344,Kids,US,United States of America
9071,Living in Oblivion,US,United States of America
8973,Lord of Illusions,US,United States of America
15730,Love & Human Remains,CA,Canada
47608,Mad Love,US,United States of America
2293,Mallrats,US,United States of America
9070,Mighty Morphin Power Rangers: The Movie,JP,Japan
9070,Mighty Morphin Power Rangers: The Movie,US,United States of America
68274,Moonlight and Valentino,GB,United Kingdom
68274,Moonlight and Valentino,US,United States of America
48787,Mute Witness,DE,Germany
48787,Mute Witness,RU,Russia
48787,Mute Witness,GB,United Kingdom
48787,Mute Witness,US,United States of America
34574,Nadja,US,United States of America
1642,The Net,US,United States of America
11472,Nine Months,US,United States of America
36196,Party Girl,US,United States of America
11980,The Prophecy,US,United States of America
58372,Reckless,US,United States of America
32646,Safe,GB,United Kingdom
32646,Safe,US,United States of America
10533,The Scarlet Letter,US,United States of America
10802,Showgirls,FR,France
10802,Showgirls,US,United States of America
10149,Smoke,DE,Germany
10149,Smoke,JP,Japan
10149,Smoke,US,United States of America
18402,Something to Talk About,US,United States of America
