name,id
Pixar Animation Studios,3
TriStar Pictures,559
Teitler Film,2550
Interscope Communications,10201
Warner Bros.,6194
Lancaster Gate,19464
Twentieth Century Fox Film Corporation,306
Sandollar Productions,5842
Touchstone Pictures,9195
Regency Enterprises,508
Forward Pass,675
Paramount Pictures,4
Scott Rudin Productions,258
Mirage Enterprises,932
Constellation Entertainment,14941
Worldwide,55873
Mont Blanc Entertainment GmbH,58079
Walt Disney Pictures,2
Universal Pictures,33
Imperial Entertainment,21437
Signature Entertainment,23770
United Artists,60
Eon Productions,7576
Columbia Pictures,5
Castle Rock Entertainment,97
Enigma Pictures,6368
Amblin Entertainment,56
Amblimation,4105
Hollywood Pictures,915
Cinergi Pictures Entertainment,1504
Le Studio Canal+,183
Laurence Mark Productions,415
Metro-Goldwyn-Mayer (MGM),8411
Carolco Pictures,14723
Légende Entreprises,10898
Syalis DA,11583
De Fina-Cappa,11584
Columbia Pictures Corporation,441
Miramax Films,14
A Band Apart,59
O Entertainment,5682
Morgan Creek Productions,10210
Jersey Films,216
New Regency Pictures,10104
Silver Pictures,1885
Canal+,5358
Dino De Laurentiis Company,10308
Donner/Shuler-Donner Productions,23397
Evansgideon/Lazar,25061
Caravan Pictures,175
Intial Productions,15547
New Line Cinema,12
BBC Films,288
Procirep,311
Constellation Productions,590
France 3 Cinéma,591
Claudie Ossard Productions,592
Eurimages,850
MEDIA Programme of the European Union,851
Cofimage 5,1871
Televisión Española (TVE),6639
Tele München Fernseh Produktionsgesellschaft (TMG),7237
Club d'Investissement Média,8170
Canal+ España,9335
Elías Querejeta Producciones Cinematográficas S.L.,12009
Centre National de la Cinématographie (CNC),18367
Victoires Productions,25020
Constellation,25021
Lumière Pictures,25129
Canal+,47532
Studio Image,68517
Cofimage 4,79437
Ossane,79438
Phoenix Images,79439
Ministère des Affaires Étrangères,2588
Alpha Films,4507
La Sept Cinéma,23647
Via Rosa Productions,10103
Don Simpson/Jerry Bruckheimer Films,10288
Atlas Entertainment,507
Classico,17031
Iwerks Entertainment,70801
Kennedy Miller Productions,2537
StudioCanal,694
Cinéa,874
Euston Films,8363
Freeway Films,19316
European Co-production Fund,30226
Polygram Filmed Entertainment,31080
Orsans Productions,44821
Havoc,406
PolyGram Filmed Entertainment,1382
Working Title Films,10163
Sony New Technologies,53390
Dualstar Productions,6130
Rysher Entertainment,11661
Orr & Cruickshank,89131
Miramax,53009
Distant Horizon,85681
Alpine Pty Limited,89840
British Screen,871
Mayfair Entertainment International,34237
Underworld Entertainment,476
Threshold Entertainment,4174
The Rank Organisation,364
Juno Pix,4286
Cecchi Gori Pictures,65394
Walt Disney Feature Animation,10217
Alliance Communications Corporation,2480
Blue Parrot Productions,361
Bad Hat Harry Productions,9168
Magnolia Pictures,1030
CiBy 2000,7832
Telefilm Canada,7320
Melenny Productions,10260
Egg Pictures,802
The Kennedy/Marshall Company,862
The Charlie Mopic Company,916
Island Pictures,3492
Ivory Way Productions,5441
Motion Picture Corporation of America (MPCA),11061
3 Arts Entertainment,36390
Weasel Productions,38003
Renn Productions,82
Les Films Flam,1614
TF1 Films Production,3823
Dimension Films,7405
Los Hooligans Productions,11705
Castleberg Productions,5841
Les Films 13,1742
TF1,22123
The Movie Network (TMN),3388
Allegro Films,4899
Fuji Eight Company Ltd.,7958
Fries Film Group,23096
Super Ecran,23097
Triumph Films,23098
Zweites Deutsches Fernsehen (ZDF),4606
Ciak Filmproduktion,83201
Bluehorse Films,93174
I.R.I.B. Channel 2,38953
Ferdos Films,38954
Bergen Film,575
Bard Entertainments,576
NPS Televisie,577
BET Pictures,38196
United Image Entertainme,38197
Playhouse International Pictures,2492
The Samuel Goldwyn Company,8888
Largo Entertainment,1644
Scott Free Productions,1645
Joe Wizan/Todd Black,3311
Addis Wechsler Pictures,4665
NFH Productions,18737
Woods Entertainment,979
WCG Entertainment Productions,456
Mark Gordon Productions,11362
Midwinter Films,75942
Les Productions Lazennec,5869
La Sept Cinéma,16366
Kasso Inc. Productions,22684
Cofinergie 6,68518
Channel Four Films,181
British Broadcasting Corporation (BBC),3324
Westdeutscher Rundfunk (WDR),7025
Canadian Broadcasting Corporation (CBC),12113
Cinemax Reel Life,12911
InPictures,12912
Lafayette Films,12913
Gracie Films,18
Spelling Films,10355
Brillstein-Grey Entertainment,1606
Robert Simonds Productions,3929
Malpaso Productions,171
Jim Henson Productions,2504
"Jim Henson Company, The",6254
Icon Entertainment International,4564
The Ladd Company,7965
B.H. Finance C.V.,11353
Italo/Judeo Productions,46059
Bill/Phillips,46060
Golden Harvest Company,2521
Téléfilm Canada,806
Skyline Films,2055
Malofilm,3498
Société de Développement des Entreprises Culturelles (SODEC),9116
British Screen Productions,12745
National Film Board of Canada (NFB),17027
imX Communications,22150
Glace Bay Pictures,38673
Ciné Télé Action,38674
Nova Scotia Film Development Corporation,40534
Ranfilm,85045
France 2 Cinéma,83
Les Productions du Champ Poirier,883
Téléma Productions,885
