movie_id,movie_title,id_id,name_name
862,Toy Story,3,Pixar Animation Studios
8844,Jumanji,559,TriStar Pictures
8844,Jumanji,2550,Teitler Film
8844,Jumanji,10201,Interscope Communications
15602,Grumpier Old Men,6194,Warner Bros.
15602,Grumpier Old Men,19464,Lancaster Gate
31357,Waiting to Exhale,306,Twentieth Century Fox Film Corporation
11862,Father of the Bride Part II,5842,Sandollar Productions
11862,Father of the Bride Part II,9195,Touchstone Pictures
949,Heat,508,Regency Enterprises
949,Heat,675,Forward Pass
949,Heat,6194,Warner Bros.
11860,Sabrina,4,Paramount Pictures
11860,Sabrina,258,Scott Rudin Productions
11860,Sabrina,932,Mirage Enterprises
11860,Sabrina,5842,Sandollar Productions
11860,Sabrina,14941,Constellation Entertainment
11860,Sabrina,55873,Worldwide
11860,Sabrina,58079,Mont Blanc Entertainment GmbH
45325,Tom and Huck,2,Walt Disney Pictures
9091,Sudden Death,33,Universal Pictures
9091,Sudden Death,21437,Imperial Entertainment
9091,Sudden Death,23770,Signature Entertainment
710,GoldenEye,60,United Artists
710,GoldenEye,7576,Eon Productions
9087,The American President,5,Columbia Pictures
9087,The American President,97,Castle Rock Entertainment
12110,Dracula: Dead and Loving It,5,Columbia Pictures
12110,Dracula: Dead and Loving It,97,Castle Rock Entertainment
12110,Dracula: Dead and Loving It,6368,Enigma Pictures
21032,Balto,33,Universal Pictures
21032,Balto,56,Amblin Entertainment
21032,Balto,4105,Amblimation
10858,Nixon,915,Hollywood Pictures
10858,Nixon,1504,Cinergi Pictures Entertainment
1408,Cutthroat Island,183,Le Studio Canal+
1408,Cutthroat Island,415,Laurence Mark Productions
1408,Cutthroat Island,8411,Metro-Goldwyn-Mayer (MGM)
1408,Cutthroat Island,14723,Carolco Pictures
524,Casino,33,Universal Pictures
524,Casino,10898,Légende Entreprises
524,Casino,11583,Syalis DA
524,Casino,11584,De Fina-Cappa
4584,Sense and Sensibility,441,Columbia Pictures Corporation
4584,Sense and Sensibility,932,Mirage Enterprises
5,Four Rooms,14,Miramax Films
5,Four Rooms,59,A Band Apart
9273,Ace Ventura: When Nature Calls,5682,O Entertainment
9273,Ace Ventura: When Nature Calls,6194,Warner Bros.
9273,Ace Ventura: When Nature Calls,10210,Morgan Creek Productions
11517,Money Train,5,Columbia Pictures
8012,Get Shorty,216,Jersey Films
8012,Get Shorty,8411,Metro-Goldwyn-Mayer (MGM)
1710,Copycat,508,Regency Enterprises
1710,Copycat,10104,New Regency Pictures
9691,Assassins,1885,Silver Pictures
9691,Assassins,5358,Canal+
9691,Assassins,6194,Warner Bros.
9691,Assassins,10308,Dino De Laurentiis Company
9691,Assassins,23397,Donner/Shuler-Donner Productions
9691,Assassins,25061,Evansgideon/Lazar
12665,Powder,175,Caravan Pictures
12665,Powder,915,Hollywood Pictures
451,Leaving Las Vegas,60,United Artists
451,Leaving Las Vegas,15547,Intial Productions
16420,Othello,5,Columbia Pictures
