movie_id,movie_title,iso_639_1_id,name_name
862,Toy Story,en,English
8844,Jumanji,en,English
8844,Jumanji,fr,Français
15602,Grumpier Old Men,en,English
31357,Waiting to Exhale,en,English
11862,Father of the Bride Part II,en,English
949,Heat,en,English
949,Heat,es,Español
11860,Sabrina,fr,Français
11860,Sabrina,en,English
45325,Tom and Huck,en,English
45325,Tom and Huck,de,Deutsch
9091,Sudden Death,en,English
710,GoldenEye,en,English
710,GoldenEye,ru,Pусский
710,GoldenEye,es,Español
9087,The American President,en,English
12110,Dracula: Dead and Loving It,en,English
12110,Dracula: Dead and Loving It,de,Deutsch
21032,Balto,en,English
10858,Nixon,en,English
1408,Cutthroat Island,en,English
1408,Cutthroat Island,la,Latin
524,Casino,en,English
4584,Sense and Sensibility,en,English
5,Four Rooms,en,English
9273,Ace Ventura: When Nature Calls,en,English
11517,Money Train,en,English
8012,Get Shorty,en,English
1710,Copycat,en,English
1710,Copycat,de,Deutsch
9691,Assassins,en,English
9691,Assassins,es,Español
9691,Assassins,nl,Nederlands
12665,Powder,en,English
451,Leaving Las Vegas,en,English
16420,Othello,en,English
9263,Now and Then,en,English
17015,Persuasion,en,English
902,The City of Lost Children,cn,广州话 / 廣州話
902,The City of Lost Children,fr,Français
37557,Shanghai Triad,zh,普通话
9909,Dangerous Minds,en,English
63,Twelve Monkeys,en,English
63,Twelve Monkeys,fr,Français
78802,Wings of Courage,en,English
9598,Babe,en,English
47018,Carrington,en,English
687,Dead Man Walking,en,English
139405,Across the Sea of Time,ru,Pусский
139405,Across the Sea of Time,en,English
33689,It Takes Two,en,English
9603,Clueless,es,Español
9603,Clueless,en,English
34615,"Cry, the Beloved Country",en,English
31174,Richard III,en,English
11443,Dead Presidents,en,English
35196,Restoration,en,English
35196,Restoration,es,Español
9312,Mortal Kombat,en,English
577,To Die For,en,English
11861,How To Make An American Quilt,en,English
807,Se7en,en,English
10530,Pocahontas,en,English
8391,When Night Is Falling,en,English
629,The Usual Suspects,es,Español
629,The Usual Suspects,en,English
629,The Usual Suspects,fr,Français
629,The Usual Suspects,hu,Magyar
11448,Mighty Aphrodite,en,English
49133,Lamerica,sq,shqip
49133,Lamerica,it,Italiano
26441,The Big Green,en,English
26441,The Big Green,de,Deutsch
97406,Georgia,en,English
124057,Kids of the Round Table,en,English
9089,Home for the Holidays,en,English
9089,Home for the Holidays,es,Español
11010,The Postman,it,Italiano
11010,The Postman,es,Español
99040,The Confessional,en,English
99040,The Confessional,fr,Français
11359,The Indian in the Cupboard,en,English
17182,Eye for an Eye,en,English
17182,Eye for an Eye,fr,Français
17182,Eye for an Eye,ko,한국어/조선말
17182,Eye for an Eye,es,Español
2054,Mr. Holland's Opus,en,English
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,English
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,es,Español
19760,Two If by Sea,en,English
9536,Bio-Dome,en,English
9536,Bio-Dome,ru,Pусский
11525,Lawnmower Man 2: Beyond Cyberspace,en,English
11525,Lawnmower Man 2: Beyond Cyberspace,hu,Magyar
40628,Two Bits,en,English
4482,French Twist,fr,Français
4482,French Twist,es,Español
10634,Friday,en,English
755,From Dusk Till Dawn,en,English
755,From Dusk Till Dawn,es,Español
11859,Fair Game,en,English
11859,Fair Game,es,Español
28387,Kicking and Screaming,en,English
48750,Les Miserables,fr,Français
20927,Bed of Roses,en,English
36929,Big Bully,en,English
9102,Screamers,en,English
124626,Nico Icon,de,Deutsch
124626,Nico Icon,en,English
27526,The Crossing Guard,en,English
9623,The Juror,en,English
46785,The White Balloon,fa,فارسی
400,Things to Do in Denver When You're Dead,en,English
880,Antonia's Line,nl,Nederlands
146599,Once Upon a Time... When We Were Colored,en,English
8447,Angels and Insects,en,English
10534,White Squall,da,Dansk
10534,White Squall,en,English
10534,White Squall,fr,Français
10534,White Squall,de,Deutsch
17414,Dunston Checks In,en,English
17414,Dunston Checks In,fr,Français
17414,Dunston Checks In,ru,Pусский
13997,Black Sheep,en,English
2086,Nick of Time,en,English
61548,The Journey of August King,en,English
9095,Mary Reilly,en,English
12158,Vampire in Brooklyn,en,English
9283,Beautiful Girls,en,English
9208,Broken Arrow,en,English
40154,A Midwinter's Tale,en,English
406,La Haine,fr,Français
45549,Shopping,en,English
63076,Heidi Fleiss: Hollywood Madam,en,English
11062,City Hall,en,English
13685,Bottle Rocket,es,Español
13685,Bottle Rocket,en,English
47475,Mr. Wrong,en,English
2045,Unforgettable,en,English
9614,Happy Gilmore,en,English
688,The Bridges of Madison County,en,English
11907,Nobody Loves Me,de,Deutsch
10874,Muppet Treasure Island,en,English
89333,Catwalk,en,English
197,Braveheart,en,English
197,Braveheart,fr,Français
197,Braveheart,la,Latin
197,Braveheart,gd,
103,Taxi Driver,en,English
103,Taxi Driver,es,Español
33542,Rumble in the Bronx,cn,广州话 / 廣州話
33542,Rumble in the Bronx,en,English
43566,Before and After,en,English
43566,Before and After,fr,Français
43566,Before and After,de,Deutsch
71754,Margaret's Museum,en,English
43612,Happiness Is in the Field,fr,Français
51352,Anne Frank Remembered,en,English
16934,The Young Poisoner's Handbook,en,English
10324,If Lucy Fell,en,English
78406,Steal Big Steal Little,en,English
55731,Race the Sun,en,English
32119,The Boys of St. Vincent,en,English
11066,Boomerang,fr,Français
11066,Boomerang,en,English
11104,Chungking Express,cn,广州话 / 廣州話
11104,Chungking Express,en,English
11104,Chungking Express,ja,日本語
11104,Chungking Express,zh,普通话
37975,The Star Maker,it,Italiano
2074,Flirting with Disaster,en,English
27793,The Neverending Story III: Escape from Fantasia,en,English
44284,The Silences of the Palace,ar,العربية
44284,The Silences of the Palace,fr,Français
110972,Pie in the Sky,en,English
32622,Angela,en,English
73067,Frankie Starlight,en,English
11863,Jade,en,English
55475,Nueba Yol,es,Español
124636,Sonic Outlaws,en,English
9101,Down Periscope,en,English
123360,From the Journals of Jean Seberg,en,English
5757,Man of the Year,en,English
39428,The Neon Bible,en,English
9302,Up Close & Personal,fr,Français
11000,The Birdcage,en,English
11000,The Birdcage,fr,Français
249882,Virgin Mary,en,English
249882,Virgin Mary,hr,Hrvatski
249882,Virgin Mary,bs,Bosanski
16388,The Brothers McMullen,en,English
9737,Bad Boys,en,English
30765,The Amazing Panda Adventure,de,Deutsch
10474,The Basketball Diaries,en,English
22279,An Awfully Big Adventure,en,English
30157,Amateur,en,English
568,Apollo 13,en,English
11780,Rob Roy,en,English
34996,The Addiction,en,English
414,Batman Forever,en,English
649,Belle de Jour,fr,Français
649,Belle de Jour,mn,
649,Belle de Jour,es,Español
1873,Beyond Rangoon,en,English
5894,Blue in the Face,en,English
1775,Canadian Bacon,en,English
8839,Casper,en,English
20649,Clockers,en,English
10329,Congo,en,English
10329,Congo,fr,Français
8963,Crimson Tide,en,English
26564,Crumb,en,English
8068,Desperado,en,English
8512,Devil in a Blue Dress,en,English
1572,Die Hard: With a Vengeance,en,English
1572,Die Hard: With a Vengeance,de,Deutsch
1572,Die Hard: With a Vengeance,ro,Română
13552,The Doom Generation,en,English
259209,Feast of July,en,English
6520,First Knight,en,English
6520,First Knight,fr,Français
9073,Free Willy 2 - The Adventure Home,en,English
9073,Free Willy 2 - The Adventure Home,id,Bahasa indonesia
9073,Free Willy 2 - The Adventure Home,ms,Bahasa melayu
10428,Hackers,en,English
10428,Hackers,it,Italiano
